,part_no,description_mar,on_hand_mar,total_cost_mar,excess_mar,excess_cost_mar,description_jun,on_hand_jun,total_cost_jun,excess_jun,excess_cost_jun,on_hand_change,total_cost_change,excess_change,excess_cost_change
2758,219551016,HELI-NUT - M16,582.0,,264.0,2441.71884,HELI-NUT - M16,542.0,,184.0,1720.93636,-40.0,0.0,-80.0,-720.7824800000001
2783,233211006,SPRING WASHER - M6,175.0,,12.0,0.12,,,,,,-175.0,0.0,-12.0,-0.12
2799,RT35433A/1,Shim - 0.05 mm,146.0,,50.0,904.63015,Shim - 0.05 mm,146.0,,42.0,759.889326,0.0,0.0,-8.0,-144.74082399999998
2811,RT35025,BUSH,17.0,,17.0,10776.540006,BUSH,13.0,,10.0,6782.43077,-4.0,0.0,-7.0,-3994.1092359999993
2827,CT336N/14,O RING SEAL - 246MM I/D,29.0,,3.0,248.777586,,,,,,-29.0,0.0,-3.0,-248.777586
2879,H245218A,SEAL STRIP,355.0,,138.0,448.5,SEAL STRIP,301.0,,30.0,97.5,-54.0,0.0,-108.0,-351.0
2880,H245217A,SEAL STRIP,333.0,,176.0,2575.429648,SEAL STRIP,275.0,,60.0,892.2,-58.0,0.0,-116.0,-1683.2296479999998
2888,3902/1247/1,LOCKING PLATE (ALSO ZZ),17.0,,17.0,1567.23,LOCKING PLATE (ALSO ZZ),17.0,,16.0,1475.04,0.0,0.0,-1.0,-92.19000000000005
2893,RM22012B/2,SHIM 0.25 MM,928.0,,95.0,1070.42067,,,,,,-928.0,0.0,-95.0,-1070.42067
2895,RM31082A/1,SEALING STRIP,439.0,,187.0,1458.6,SEALING STRIP,412.0,,133.0,1037.4,-27.0,0.0,-54.0,-421.1999999999998
2898,RM31383A/2,LOCKING STRIP,105.0,,20.0,610.84762,,,,,,-105.0,0.0,-20.0,-610.84762
2899,RM33314,DOWEL - STATOR SUPPORT,51.0,,9.0,526.891761,,,,,,-51.0,0.0,-9.0,-526.891761
2900,RM33324A,LOCATION PIN - ROTOR TIP SEAL,72.0,,12.0,573.54,,,,,,-72.0,0.0,-12.0,-573.54
2904,RM22012B/3,Shim 0.13mm,856.0,,572.0,6961.24,,,,,,-856.0,0.0,-572.0,-6961.24
2911,RM33334Z,Rotor Tip Seal - HP Borescope,1.0,,1.0,4528.22,Rotor Tip Seal - HP Borescope,1.0,,0.0,0.0,0.0,0.0,-1.0,-4528.22
2929,RM13094/1,"Shim, Stage 6 Stator Blade",142.0,,19.0,84.17,,,,,,-142.0,0.0,-19.0,-84.17
